,0
Ann. Return,0.008215989329583524
Ann. Volatility,0.10287928260390848
Sharpe Ratio,0.07986048426499613
"Sharpe SE (Lo, 2002)",0.24723010498376238
Sortino Ratio,0.11573839542431702
Max Drawdown,-0.38519229730073967
Calmar Ratio,0.021329578465503096
Skewness,-0.09111791685339446
Excess Kurtosis,2.2471040970739793
Hit Rate,0.47437137330754353
VaR 95% (daily),-0.010571856304963215
ES 95% (daily),-0.014871084910238724
Worst Day,-0.03768510271183464
Best Day,0.04595367988054389
DD Peak,2016-01-20
DD Trough,2019-11-27
Obs (years),16.41269841269841
Ann. Turnover (x gross),23.77643292374497
