ts_utc,price,fcst_solar,fcst_wind_onshore,fcst_wind_offshore,fcst_wind_total,wx_temperature_2m,wx_wind_speed_100m,wx_shortwave_radiation
2024-08-31 22:00:00+00:00,93.76,0.0,14181.35,2511.775,16693.125,,,
2024-08-31 23:00:00+00:00,85.98,0.0,13466.95,2346.05,15813.0,,,
2024-09-01 00:00:00+00:00,80.37,0.0,13041.025,2282.7,15323.724999999999,18.46,25.78,0.0
2024-09-01 01:00:00+00:00,80.14,0.0,12733.925,2442.5,15176.425,17.880000000000003,24.4,0.0
2024-09-01 02:00:00+00:00,81.2,0.0,12464.0,2711.25,15175.25,17.34,22.5,0.0
2024-09-01 03:00:00+00:00,80.16,0.0,12310.575,2959.5,15270.075,17.04,25.5,0.0
2024-09-01 04:00:00+00:00,79.49,140.725,12456.05,3112.925,15568.974999999999,16.9,20.080000000000002,0.0
2024-09-01 05:00:00+00:00,73.1,3807.5249999999996,12047.525,3137.225,15184.75,16.48,23.4,4.4
2024-09-01 06:00:00+00:00,60.63,12944.45,9690.175,3169.15,12859.324999999999,17.06,19.98,71.4
2024-09-01 07:00:00+00:00,41.27,23479.075,6718.725,3106.75,9825.475,18.64,15.24,197.6
2024-09-01 08:00:00+00:00,12.73,32607.875,5775.275,2973.45,8748.724999999999,20.32,13.219999999999999,355.6
2024-09-01 09:00:00+00:00,-0.79,38839.875,6028.8,2983.325,9012.125,22.7,13.62,498.2
2024-09-01 10:00:00+00:00,-9.17,41796.525,6261.125,2887.225,9148.35,24.54,13.52,592.4
2024-09-01 11:00:00+00:00,-24.0,42089.8,5849.75,2823.075,8672.825,25.880000000000003,14.219999999999999,665.0
2024-09-01 12:00:00+00:00,-19.94,39681.175,5810.55,2824.525,8635.075,27.02,13.419999999999998,656.8
2024-09-01 13:00:00+00:00,-4.99,34603.875,6286.15,2890.05,9176.2,27.76,14.459999999999999,620.2
