dimension,level,model,observations,mae,rmse,bias
season,autumn,naive_w,2185,39.28060640732266,57.22400873040393,-2.5661784897025175
season,autumn,ridge,2185,17.456358873240006,26.293305402205718,-2.312866440506415
season,autumn,lgbm,2185,14.196667723479237,23.294831277615362,-5.042280100709682
season,spring,naive_w,2207,42.628496828273676,63.65315100134282,-1.50930335296783
season,spring,ridge,2207,18.73354412007732,30.815638124368512,-7.612120785397538
season,spring,lgbm,2207,16.302983527512993,28.07926104943,-6.018139159882914
season,summer,naive_w,2208,24.076847826086958,39.12570603302456,-3.0867028985507243
season,summer,ridge,2208,16.35975421096193,22.831538868258725,-3.946336777218343
season,summer,lgbm,2208,11.93368623843439,18.70139923175769,-3.2497780060104535
season,winter,naive_w,2160,25.49009722222222,40.247399581140414,3.771476851851851
season,winter,ridge,2160,15.874476740913236,20.391423526178986,1.0608022427296124
season,winter,lgbm,2160,11.917655833500099,17.031534297615185,-0.4990073322437651
hour_block,daylight,naive_w,3285,38.10196347031963,58.379560506625324,-0.576173515981735
hour_block,daylight,ridge,3285,19.11304621349472,29.414808190042123,-4.248724625227121
hour_block,daylight,lgbm,3285,16.65353299416991,27.29167283494331,-4.38352344024142
hour_block,evening_ramp,naive_w,2190,38.666809360730596,58.24532787510057,-1.345124429223744
hour_block,evening_ramp,ridge,2190,18.0455576373162,28.22991158612275,-3.810954872083626
hour_block,evening_ramp,lgbm,2190,15.489032393713407,24.741499686811213,-4.242314387880275
hour_block,late_evening,naive_w,730,21.921825342465755,32.617358503484965,-0.852702054794521
hour_block,late_evening,ridge,730,14.399854074302947,18.018953055118768,-1.5380841596538724
hour_block,late_evening,lgbm,730,9.164758735937838,12.732829381263429,-2.396998267148103
hour_block,night,naive_w,2555,24.37624755381605,37.400658634298864,-0.8399833659491196
hour_block,night,ridge,2555,14.512822527562745,18.033547742013432,-1.8981955011348202
hour_block,night,lgbm,2555,9.304895784943847,12.803640382628256,-2.7837295793193255
price_regime,above_200,naive_w,157,118.33652866242038,137.16396867685302,-111.46245222929933
price_regime,above_200,ridge,157,74.9882048491179,91.11958145957428,-71.42113634704621
price_regime,above_200,lgbm,157,61.11869185412948,77.75005313383869,-40.96118035461463
price_regime,negative,naive_w,538,55.221617100371745,81.42975556074748,42.39277881040893
price_regime,negative,ridge,538,21.467027048752428,45.91054823623599,0.9881606123164169
price_regime,negative,lgbm,538,21.59264341425448,45.01627714300395,1.4060449887957507
price_regime,regular,naive_w,8065,29.738554556726598,45.16951389826082,-1.6013505889646622
price_regime,regular,ridge,8065,15.694466752098734,19.97506734464636,-2.1815566656690635
price_regime,regular,lgbm,8065,12.136347508726525,16.83316268858817,-3.3327126731714163
renewable_quartile,Q1_low,naive_w,2190,30.695534246575342,50.44404822373627,-24.833472602739725
renewable_quartile,Q1_low,ridge,2190,19.126041798081566,30.14684061070128,0.10881486746920657
renewable_quartile,Q1_low,lgbm,2190,13.820608588494192,26.036266130755223,-1.5470653546384567
renewable_quartile,Q2,naive_w,2190,24.598320776255704,40.16107993981334,-8.07050114155251
renewable_quartile,Q2,ridge,2190,14.357305413235286,18.463513272802388,-1.5398157910285282
renewable_quartile,Q2,lgbm,2190,9.984170768558505,13.56112276532573,-1.8922504385128913
renewable_quartile,Q3,naive_w,2190,31.151017123287676,46.530495490553946,5.870957762557077
renewable_quartile,Q3,ridge,2190,15.316855489417769,19.57793087392126,-4.985093260632195
renewable_quartile,Q3,lgbm,2190,12.482952569155868,16.16123073194882,-4.389448944590255
renewable_quartile,Q4_high,naive_w,2190,45.12111301369863,64.5658681415996,23.559416666666667
renewable_quartile,Q4_high,ridge,2190,19.64650189708118,30.8120673689924,-6.495203763608038
renewable_quartile,Q4_high,lgbm,2190,18.092231286506802,29.184163320670248,-7.0355187420893825
