prompt_window,threshold,signal_days,evaluable_active_days,right_censored_active_days,hit_rate,average_captured,median_captured,long_days,short_days
5,0.5,331,206,5,0.7330097087378641,13.139158637083158,13.650736607142854,104,102
5,0.75,331,151,3,0.7615894039735099,14.645380224006965,14.866776785714293,77,74
5,1.0,331,108,3,0.8055555555555556,16.608968007054674,17.31647172619048,52,56
5,1.25,331,64,2,0.84375,20.382101727727093,20.098103571428567,28,36
5,1.5,331,42,0,0.8333333333333334,21.284838613452624,22.89222619047618,17,25
5,2.0,331,19,0,0.7894736842105263,16.56827540318186,15.814622023809505,8,11
7,0.5,329,200,4,0.715,11.146127833333333,10.496904761904759,102,98
7,0.75,329,144,3,0.7430555555555556,13.245551886178685,12.338571428571413,70,74
7,1.0,329,105,2,0.7904761904761904,13.776927664399093,11.988809523809508,52,53
7,1.25,329,72,2,0.8333333333333334,17.407968253968253,18.049977678571437,29,43
7,1.5,329,47,1,0.8085106382978723,18.3044819237038,22.184702380952366,19,28
7,2.0,329,21,0,0.7619047619047619,13.709475623582765,15.390967261904763,8,13
14,0.5,322,189,3,0.708994708994709,11.763201444482783,11.202299107142835,93,96
14,0.75,322,142,3,0.6971830985915493,12.617987127748375,12.537596726190472,71,71
14,1.0,322,106,1,0.7641509433962265,14.837098091844407,16.30110005822982,50,56
14,1.25,322,77,1,0.7532467532467533,15.827814679962888,17.101339285714275,37,40
14,1.5,322,48,0,0.75,14.70633474702381,16.621725058229813,22,26
14,2.0,322,24,0,0.7083333333333334,15.015264885804868,16.82740214156314,8,16
