regime,model,observations,mae,bias
negative,naive_w,538,55.221617100371745,42.39277881040893
negative,ridge,538,21.467027048752428,0.9881606123164169
negative,ridge_hourly,538,21.513077273550003,-1.9029200158211566
negative,lgbm,538,21.59264341425448,1.4060449887957507
regular,naive_w,8065,29.738554556726598,-1.6013505889646622
regular,ridge,8065,15.694466752098734,-2.1815566656690635
regular,ridge_hourly,8065,14.343805319906513,-2.2231510858347927
regular,lgbm,8065,12.136347508726525,-3.3327126731714163
above_200,naive_w,157,118.33652866242038,-111.46245222929933
above_200,ridge,157,74.9882048491179,-71.42113634704621
above_200,ridge_hourly,157,67.07316473574275,-64.58461485091638
above_200,lgbm,157,61.11869185412948,-40.96118035461463
negative_detection,naive_w,538,0.36059479553903345,
above_200_detection,naive_w,157,0.16560509554140126,
negative_detection,ridge,538,0.7118959107806692,
above_200_detection,ridge,157,0.21019108280254778,
negative_detection,ridge_hourly,538,0.741635687732342,
above_200_detection,ridge_hourly,157,0.33121019108280253,
negative_detection,lgbm,538,0.6784386617100372,
above_200_detection,lgbm,157,0.535031847133758,
