Expiry,Strike,Call,Put
February-2025,7925.00,151.83,27.92
February-2025,7950.00,132.52,33.59
February-2025,7975.00,114.13,40.18
February-2025,8000.00,96.79,47.82
February-2025,8025.00,81.15,57.17
February-2025,8050.00,66.88,67.88
February-2025,8075.00,54.26,80.24
February-2025,8100.00,43.41,94.38
February-2025,8125.00,34.19,110.13
February-2025,8150.00,26.35,127.28
February-2025,8200.00,14.92,165.81
March-2025,7800.00,326.16,60.36
March-2025,7850.00,286.62,70.69
March-2025,7900.00,249.02,82.96
March-2025,7950.00,213.43,97.24
March-2025,8000.00,180.80,114.47
March-2025,8050.00,150.79,134.33
March-2025,8100.00,123.92,157.33
March-2025,8150.00,100.31,183.59
March-2025,8200.00,79.90,213.05
March-2025,8250.00,62.56,245.58
March-2025,8300.00,48.15,281.04
April-2025,7800.00,376.15,98.38
April-2025,7850.00,338.37,110.37
April-2025,7900.00,302.20,123.99
April-2025,7950.00,268.30,139.87
April-2025,8000.00,235.53,156.88
April-2025,8050.00,205.43,176.55
April-2025,8100.00,177.51,198.41
April-2025,8150.00,152.10,222.79
April-2025,8200.00,128.99,249.45
April-2025,8300.00,89.94,309.97
April-2025,8400.00,60.31,379.90
June-2025,7800.00,353.34,211.02
June-2025,7850.00,321.68,228.94
June-2025,7900.00,291.40,248.26
June-2025,7950.00,262.67,269.12
June-2025,8000.00,235.72,291.76
June-2025,8050.00,210.12,315.74
June-2025,8100.00,186.77,341.98
June-2025,8150.00,165.22,370.02
June-2025,8200.00,145.32,399.71
June-2025,8300.00,110.71,464.28
June-2025,8400.00,82.67,535.42
September-2025,7800.00,474.75,289.72
September-2025,7850.00,442.51,306.82
September-2025,7900.00,411.57,325.22
September-2025,7950.00,382.11,345.10
September-2025,8000.00,353.67,366.00
September-2025,8050.00,326.46,388.14
September-2025,8100.00,301.60,412.62
September-2025,8150.00,276.95,437.31
September-2025,8200.00,253.75,463.45
September-2025,8300.00,211.14,519.54
September-2025,8400.00,173.64,580.71
December-2025,7800.00,562.56,363.16
December-2025,7850.00,530.63,380.34
December-2025,7900.00,500.27,399.09
December-2025,7950.00,471.01,418.95
December-2025,8000.00,442.84,439.89
December-2025,8050.00,415.51,461.68
December-2025,8100.00,389.91,485.19
December-2025,8150.00,364.60,508.99
December-2025,8200.00,340.38,533.89
December-2025,8300.00,294.89,586.63
December-2025,8400.00,253.61,643.58
March-2026,7000.00,1222.92,207.09
March-2026,7200.00,1065.31,245.03
March-2026,7400.00,915.25,290.50
March-2026,7600.00,773.92,344.71
March-2026,7800.00,642.93,409.26
March-2026,8000.00,524.12,485.99
March-2026,8200.00,418.89,576.29
March-2026,8400.00,327.80,680.75
March-2026,8600.00,251.07,799.55
March-2026,8800.00,188.01,932.04
March-2026,9200.00,99.44,1234.55
June-2026,7000.00,1174.58,268.49
June-2026,7200.00,1025.07,313.64
June-2026,7400.00,883.40,366.61
June-2026,7600.00,750.75,428.61
June-2026,7800.00,628.65,501.16
June-2026,8000.00,518.06,585.21
June-2026,8200.00,419.88,681.68
June-2026,8400.00,335.02,791.47
June-2026,8800.00,202.54,1048.28
June-2026,9200.00,115.30,1350.34
June-2026,9600.00,63.16,1687.49
September-2026,7000.00,1229.62,315.04
September-2026,7200.00,1084.11,363.30
September-2026,7400.00,946.80,419.75
September-2026,7600.00,818.51,485.23
September-2026,7800.00,700.01,560.50
September-2026,8000.00,591.90,646.15
September-2026,8200.00,494.57,742.59
September-2026,8400.00,408.22,850.01
September-2026,8800.00,267.87,1097.20
September-2026,9200.00,169.78,1386.64
September-2026,9600.00,115.92,1720.32
December-2026,7000.00,1289.32,354.00
December-2026,7200.00,1147.93,405.47
December-2026,7400.00,1014.21,464.59
December-2026,7600.00,888.80,532.03
December-2026,7800.00,772.26,608.34
December-2026,8000.00,665.04,693.97
December-2026,8200.00,567.71,789.49
December-2026,8400.00,480.55,895.17
December-2026,8800.00,336.04,1136.36
December-2026,9200.00,228.31,1414.32
December-2026,9600.00,154.30,1726.02
December-2027,6000.00,2106.45,311.92
December-2027,6400.00,1793.94,377.61
December-2027,6800.00,1501.32,463.18
December-2027,7200.00,1233.36,573.41
December-2027,7600.00,993.68,711.93
December-2027,8000.00,784.93,881.37
December-2027,8400.00,608.42,1083.05
December-2027,8800.00,463.65,1316.47
December-2027,9600.00,260.63,1869.84
December-2027,10400.00,160.70,2526.30
December-2027,11200.00,98.55,3220.53
December-2028,5600.00,2449.91,344.26
December-2028,6400.00,1848.90,484.35
December-2028,6800.00,1573.82,579.82
December-2028,7200.00,1320.18,696.73
December-2028,7600.00,1090.34,837.44
December-2028,8000.00,886.26,1003.91
December-2028,8400.00,711.59,1199.79
December-2028,8800.00,566.58,1425.33
December-2028,9600.00,361.14,1960.99
December-2028,10400.00,249.75,2590.70
December-2028,11200.00,164.79,3246.84
December-2029,5600.00,2443.83,406.46
December-2029,6400.00,1882.21,570.05
December-2029,6800.00,1626.13,676.57
December-2029,7200.00,1388.94,801.98
December-2029,7600.00,1172.12,947.76
December-2029,8000.00,977.10,1115.35
December-2029,8400.00,808.07,1308.91
December-2029,8800.00,665.26,1528.71
December-2029,9600.00,450.36,2039.01
December-2029,10400.00,312.97,2626.83
