"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-01","Jan-2014","PC","Percentage","0","Units",,,-1.797,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-02","Feb-2014","PC","Percentage","0","Units",,,1.07736,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-03","Mar-2014","PC","Percentage","0","Units",,,2.717079,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-04","Apr-2014","PC","Percentage","0","Units",,,0.6286902,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-05","May-2014","PC","Percentage","0","Units",,,-0.4931822,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-06","Jun-2014","PC","Percentage","0","Units",,,-1.381094,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-07","Jul-2014","PC","Percentage","0","Units",,,-2.20494,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-08","Aug-2014","PC","Percentage","0","Units",,,0.9262363,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-09","Sep-2014","PC","Percentage","0","Units",,,3.70717,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-10","Oct-2014","PC","Percentage","0","Units",,,1.329336,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-11","Nov-2014","PC","Percentage","0","Units",,,-2.038706,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2014-12","Dec-2014","PC","Percentage","0","Units",,,-3.804497,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2015-01","Jan-2015","PC","Percentage","0","Units",,,-1.313918,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2015-02","Feb-2015","PC","Percentage","0","Units",,,1.65268,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2015-03","Mar-2015","PC","Percentage","0","Units",,,3.012561,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","M","Monthly","2015-04","Apr-2015","PC","Percentage","0","Units",,,0.3402364,,
