,PERMNO,date,TICKER,PERMCO,PRC,VOL,RET,BID,ASK,cpiret,UNRATE,GDP
0,14593,2001-01-02,AAPL,7,14.875,8202806.0,0.0,14.875,14.9375,0.001728,4.2,10470.231
1,14593,2001-01-03,AAPL,7,16.375,14854310.0,0.10084,16.3125,16.375,0.001728,4.2,10470.231
2,14593,2001-01-04,AAPL,7,17.0625,13349646.0,0.041985,17.0625,17.125,0.001728,4.2,10470.231
3,14593,2001-01-05,AAPL,7,16.375,7594080.0,-0.040293,16.375,16.4375,0.001728,4.2,10470.231
4,14593,2001-01-08,AAPL,7,16.5625,6768672.0,0.01145,16.5625,16.625,0.001728,4.2,10470.231
5,14593,2001-01-09,AAPL,7,17.1875,10833179.0,0.037736,17.125,17.1875,0.001728,4.2,10470.231
6,14593,2001-01-10,AAPL,7,16.5625,10477955.0,-0.036364,16.5625,16.625,0.001728,4.2,10470.231
7,14593,2001-01-11,AAPL,7,18.0,14491692.0,0.086792,17.9375,18.0,0.001728,4.2,10470.231
8,14593,2001-01-12,AAPL,7,17.1875,7641905.0,-0.045139,17.125,17.1875,0.001728,4.2,10470.231
9,14593,2001-01-16,AAPL,7,17.125,5520702.0,-0.003636,17.0625,17.125,0.001728,4.2,10470.231
10,14593,2001-01-17,AAPL,7,16.8125,15752879.0,-0.018248,16.75,16.8125,0.001728,4.2,10470.231
11,14593,2001-01-18,AAPL,7,18.6875,22064680.0,0.111524,18.6875,18.75,0.001728,4.2,10470.231
12,14593,2001-01-19,AAPL,7,19.5,13957258.0,0.043478,19.4375,19.5,0.001728,4.2,10470.231
13,14593,2001-01-22,AAPL,7,19.25,9430841.0,-0.012821,19.1875,19.25,0.001728,4.2,10470.231
14,14593,2001-01-23,AAPL,7,20.5,15834529.0,0.064935,20.5,20.5625,0.001728,4.2,10470.231
15,14593,2001-01-24,AAPL,7,20.5,12871440.0,0.0,20.5,20.5625,0.001728,4.2,10470.231
16,14593,2001-01-25,AAPL,7,19.9375,8873860.0,-0.027439,19.875,19.9375,0.001728,4.2,10470.231
17,14593,2001-01-26,AAPL,7,19.5625,8696546.0,-0.018809,19.5,19.5625,0.001728,4.2,10470.231
18,14593,2001-01-29,AAPL,7,21.6875,15386442.0,0.108626,21.6875,21.75,0.001728,4.2,10470.231
19,14593,2001-01-30,AAPL,7,21.75,12477351.0,0.002882,21.6875,21.75,0.001728,4.2,10470.231
20,14593,2001-01-31,AAPL,7,21.625,13191959.0,-0.005747,21.625,21.6875,0.001728,4.2,10470.231
21,14593,2001-02-01,AAPL,7,21.125,6794183.0,-0.023121,21.0625,21.125,0.001728,4.2,10470.231
22,14593,2001-02-02,AAPL,7,20.625,7694215.0,-0.023669,20.625,20.6875,0.001728,4.2,10470.231
23,14593,2001-02-05,AAPL,7,20.1875,5885174.0,-0.021212,20.1875,20.25,0.001728,4.2,10470.231
24,14593,2001-02-06,AAPL,7,21.125,8319169.0,0.04644,21.0625,21.125,0.001728,4.2,10470.231
25,14593,2001-02-07,AAPL,7,20.75,7105703.0,-0.017751,20.6875,20.75,0.001728,4.2,10470.231
26,14593,2001-02-08,AAPL,7,20.75,10870558.0,0.0,20.6875,20.75,0.001728,4.2,10470.231
27,14593,2001-02-09,AAPL,7,19.125,10610075.0,-0.078313,19.125,19.125,0.001728,4.2,10470.231
28,14593,2001-02-12,AAPL,7,19.6875,4980168.0,0.029412,19.625,19.6875,0.001728,4.2,10470.231
29,14593,2001-02-13,AAPL,7,19.125,4286957.0,-0.028571,19.0625,19.125,0.001728,4.2,10470.231
30,14593,2001-02-14,AAPL,7,19.5,5576871.0,0.019608,19.5,19.5625,0.001728,4.2,10470.231
31,14593,2001-02-15,AAPL,7,20.0625,5601842.0,0.028846,20.0,20.0625,0.001728,4.2,10470.231
32,14593,2001-02-16,AAPL,7,19.0,4739819.0,-0.05296,18.9375,19.0,0.001728,4.2,10470.231
33,14593,2001-02-20,AAPL,7,18.3125,5718906.0,-0.036184,18.25,18.3125,0.001728,4.2,10470.231
34,14593,2001-02-21,AAPL,7,18.875,7087443.0,0.030717,18.875,18.875,0.001728,4.2,10470.231
35,14593,2001-02-22,AAPL,7,18.8125,7791810.0,-0.003311,18.75,18.8125,0.001728,4.2,10470.231
36,14593,2001-02-23,AAPL,7,18.8125,5333547.0,0.0,18.75,18.8125,0.001728,4.2,10470.231
37,14593,2001-02-26,AAPL,7,19.5,3859907.0,0.036545,19.4375,19.5,0.001728,4.2,10470.231
38,14593,2001-02-27,AAPL,7,19.375,6295260.0,-0.00641,19.3125,19.375,0.001728,4.2,10470.231
39,14593,2001-02-28,AAPL,7,18.25,9138715.0,-0.058065,18.25,18.3125,0.001728,4.2,10470.231
40,14593,2001-03-01,AAPL,7,18.75,5970325.0,0.027397,18.6875,18.75,0.001728,4.3,10470.231
41,14593,2001-03-02,AAPL,7,19.25,7349419.0,0.026667,19.25,19.3125,0.001728,4.3,10470.231
42,14593,2001-03-05,AAPL,7,20.375,5840656.0,0.058442,20.3125,20.375,0.001728,4.3,10470.231
43,14593,2001-03-06,AAPL,7,21.5,13138990.0,0.055215,21.4375,21.5,0.001728,4.3,10470.231
44,14593,2001-03-07,AAPL,7,21.25,7533018.0,-0.011628,21.1875,21.25,0.001728,4.3,10470.231
45,14593,2001-03-08,AAPL,7,20.8125,3790156.0,-0.020588,20.75,20.8125,0.001728,4.3,10470.231
46,14593,2001-03-09,AAPL,7,20.25,5441551.0,-0.027027,20.1875,20.25,0.001728,4.3,10470.231
47,14593,2001-03-12,AAPL,7,18.625,7121425.0,-0.080247,18.5,18.6875,0.001728,4.3,10470.231
48,14593,2001-03-13,AAPL,7,19.5625,7972480.0,0.050336,19.5,19.5625,0.001728,4.3,10470.231
49,14593,2001-03-14,AAPL,7,20.4375,8669722.0,0.044728,20.3125,20.375,0.001728,4.3,10470.231
50,14593,2001-03-15,AAPL,7,19.6875,9613365.0,-0.036697,19.6875,19.75,0.001728,4.3,10470.231
51,14593,2001-03-16,AAPL,7,19.625,8619541.0,-0.003175,19.5625,19.625,0.001728,4.3,10470.231
52,14593,2001-03-19,AAPL,7,20.5625,6593095.0,0.047771,20.5625,20.625,0.001728,4.3,10470.231
53,14593,2001-03-20,AAPL,7,19.6875,9255088.0,-0.042553,19.6875,19.75,0.001728,4.3,10470.231
54,14593,2001-03-21,AAPL,7,20.125,6714450.0,0.022222,20.0625,20.125,0.001728,4.3,10470.231
55,14593,2001-03-22,AAPL,7,21.625,13019204.0,0.074534,21.5625,21.6875,0.001728,4.3,10470.231
56,14593,2001-03-23,AAPL,7,23.0,16984000.0,0.063584,22.9375,23.0,0.001728,4.3,10470.231
57,14593,2001-03-26,AAPL,7,21.78,13207121.0,-0.053043,21.78,21.79,0.001728,4.3,10470.231
58,14593,2001-03-27,AAPL,7,22.87,9789996.0,0.050046,22.86,22.87,0.001728,4.3,10470.231
59,14593,2001-03-28,AAPL,7,22.17,10528073.0,-0.030608,22.16,22.17,0.001728,4.3,10470.231
60,14593,2001-03-29,AAPL,7,22.53,11023579.0,0.016238,22.52,22.53,0.001728,4.3,10470.231
61,14593,2001-03-30,AAPL,7,22.07,7279116.0,-0.020417,22.07,22.08,0.012644,4.3,10470.231
62,14593,2001-04-02,AAPL,7,21.59,6170092.0,-0.021749,21.6,21.57,0.012644,4.4,10599.0
63,14593,2001-04-03,AAPL,7,20.24,6686264.0,-0.062529,20.23,20.24,0.012644,4.4,10599.0
64,14593,2001-04-04,AAPL,7,19.5,12325511.0,-0.036561,19.5,19.55,0.012644,4.4,10599.0
65,14593,2001-04-05,AAPL,7,20.87,8231232.0,0.070256,20.86,20.87,0.012644,4.4,10599.0
66,14593,2001-04-06,AAPL,7,20.59,5891624.0,-0.013416,20.58,20.59,0.012644,4.4,10599.0
