PERMNO,date,TICKER,PERMCO,PRC,VOL,RET,BID,ASK
14593,20010102,AAPL,7,14.87500,8202806,0.000000,14.87500,14.93750
14593,20010103,AAPL,7,16.37500,14854310,0.100840,16.31250,16.37500
14593,20010104,AAPL,7,17.06250,13349646,0.041985,17.06250,17.12500
14593,20010105,AAPL,7,16.37500,7594080,-0.040293,16.37500,16.43750
14593,20010108,AAPL,7,16.56250,6768672,0.011450,16.56250,16.62500
14593,20010109,AAPL,7,17.18750,10833179,0.037736,17.12500,17.18750
14593,20010110,AAPL,7,16.56250,10477955,-0.036364,16.56250,16.62500
14593,20010111,AAPL,7,18.00000,14491692,0.086792,17.93750,18.00000
14593,20010112,AAPL,7,17.18750,7641905,-0.045139,17.12500,17.18750
14593,20010116,AAPL,7,17.12500,5520702,-0.003636,17.06250,17.12500
14593,20010117,AAPL,7,16.81250,15752879,-0.018248,16.75000,16.81250
14593,20010118,AAPL,7,18.68750,22064680,0.111524,18.68750,18.75000
14593,20010119,AAPL,7,19.50000,13957258,0.043478,19.43750,19.50000
14593,20010122,AAPL,7,19.25000,9430841,-0.012821,19.18750,19.25000
14593,20010123,AAPL,7,20.50000,15834529,0.064935,20.50000,20.56250
14593,20010124,AAPL,7,20.50000,12871440,0.000000,20.50000,20.56250
14593,20010125,AAPL,7,19.93750,8873860,-0.027439,19.87500,19.93750
14593,20010126,AAPL,7,19.56250,8696546,-0.018809,19.50000,19.56250
14593,20010129,AAPL,7,21.68750,15386442,0.108626,21.68750,21.75000
14593,20010130,AAPL,7,21.75000,12477351,0.002882,21.68750,21.75000
14593,20010131,AAPL,7,21.62500,13191959,-0.005747,21.62500,21.68750
14593,20010201,AAPL,7,21.12500,6794183,-0.023121,21.06250,21.12500
14593,20010202,AAPL,7,20.62500,7694215,-0.023669,20.62500,20.68750
14593,20010205,AAPL,7,20.18750,5885174,-0.021212,20.18750,20.25000
14593,20010206,AAPL,7,21.12500,8319169,0.046440,21.06250,21.12500
14593,20010207,AAPL,7,20.75000,7105703,-0.017751,20.68750,20.75000
14593,20010208,AAPL,7,20.75000,10870558,0.000000,20.68750,20.75000
14593,20010209,AAPL,7,19.12500,10610075,-0.078313,19.12500,19.12500
14593,20010212,AAPL,7,19.68750,4980168,0.029412,19.62500,19.68750
14593,20010213,AAPL,7,19.12500,4286957,-0.028571,19.06250,19.12500
14593,20010214,AAPL,7,19.50000,5576871,0.019608,19.50000,19.56250
14593,20010215,AAPL,7,20.06250,5601842,0.028846,20.00000,20.06250
14593,20010216,AAPL,7,19.00000,4739819,-0.052960,18.93750,19.00000
14593,20010220,AAPL,7,18.31250,5718906,-0.036184,18.25000,18.31250
14593,20010221,AAPL,7,18.87500,7087443,0.030717,18.87500,18.87500
14593,20010222,AAPL,7,18.81250,7791810,-0.003311,18.75000,18.81250
14593,20010223,AAPL,7,18.81250,5333547,0.000000,18.75000,18.81250
14593,20010226,AAPL,7,19.50000,3859907,0.036545,19.43750,19.50000
14593,20010227,AAPL,7,19.37500,6295260,-0.006410,19.31250,19.37500
14593,20010228,AAPL,7,18.25000,9138715,-0.058065,18.25000,18.31250
14593,20010301,AAPL,7,18.75000,5970325,0.027397,18.68750,18.75000
14593,20010302,AAPL,7,19.25000,7349419,0.026667,19.25000,19.31250
14593,20010305,AAPL,7,20.37500,5840656,0.058442,20.31250,20.37500
14593,20010306,AAPL,7,21.50000,13138990,0.055215,21.43750,21.50000
14593,20010307,AAPL,7,21.25000,7533018,-0.011628,21.18750,21.25000
14593,20010308,AAPL,7,20.81250,3790156,-0.020588,20.75000,20.81250
14593,20010309,AAPL,7,20.25000,5441551,-0.027027,20.18750,20.25000
14593,20010312,AAPL,7,18.62500,7121425,-0.080247,18.50000,18.68750
14593,20010313,AAPL,7,19.56250,7972480,0.050336,19.50000,19.56250
14593,20010314,AAPL,7,20.43750,8669722,0.044728,20.31250,20.37500
14593,20010315,AAPL,7,19.68750,9613365,-0.036697,19.68750,19.75000
14593,20010316,AAPL,7,19.62500,8619541,-0.003175,19.56250,19.62500
14593,20010319,AAPL,7,20.56250,6593095,0.047771,20.56250,20.62500
14593,20010320,AAPL,7,19.68750,9255088,-0.042553,19.68750,19.75000
14593,20010321,AAPL,7,20.12500,6714450,0.022222,20.06250,20.12500
14593,20010322,AAPL,7,21.62500,13019204,0.074534,21.56250,21.68750
14593,20010323,AAPL,7,23.00000,16984000,0.063584,22.93750,23.00000
14593,20010326,AAPL,7,21.78000,13207121,-0.053043,21.78000,21.79000
14593,20010327,AAPL,7,22.87000,9789996,0.050046,22.86000,22.87000
14593,20010328,AAPL,7,22.17000,10528073,-0.030608,22.16000,22.17000
14593,20010329,AAPL,7,22.53000,11023579,0.016238,22.52000,22.53000
14593,20010330,AAPL,7,22.07000,7279116,-0.020417,22.07000,22.08000
14593,20010402,AAPL,7,21.59000,6170092,-0.021749,21.60000,21.57000
14593,20010403,AAPL,7,20.24000,6686264,-0.062529,20.23000,20.24000
14593,20010404,AAPL,7,19.50000,12325511,-0.036561,19.50000,19.55000
14593,20010405,AAPL,7,20.87000,8231232,0.070256,20.86000,20.87000
14593,20010406,AAPL,7,20.59000,5891624,-0.013416,20.58000,20.59000
14593,20010409,AAPL,7,20.54000,4874924,-0.002428,20.54000,20.53000
14593,20010410,AAPL,7,22.04000,8268690,0.073028,22.04000,22.05000
14593,20010411,AAPL,7,21.80000,6233628,-0.010889,21.79000,21.80000
