model,mode,rmse_norm,mae_norm,r2,rmse_price,rel_err_otm,rel_err_atm,rel_err_itm,cal_viol
GradBoost,residual[clean],0.0002974289168134353,0.00022376170735541464,0.9999900159134191,0.08610311291800835,0.008794069569568366,0.0038885889591152396,0.0011265778249922602,0.0
RandomForest,residual[clean],0.0003217353513369378,0.00022475268544719184,0.9999883173995306,0.09231209650583168,0.009739209097551903,0.0047626646983774555,0.0006949275432529886,0.0
SVR_RBF,residual[circular_IV],0.0005348782762751652,0.00045285408344075906,0.9999677112019363,0.17780662398711214,0.04054156781978776,0.005547083949702301,0.00167342093780549,0.0
GradBoost,residual[circular_IV],0.0006297633768038059,0.00046790979534675815,0.9999552393111241,0.20691719067381245,0.04177358942278206,0.004849791283911175,0.0012304895385576537,0.0
SVR_RBF,residual[clean],0.00069379938586979,0.0005870628114921877,0.9999456737432615,0.2093837010892441,0.024915404228308145,0.005967050764786323,0.0038478142255033584,0.0
RandomForest,residual[circular_IV],0.0008199410629901416,0.0006016674013149757,0.9999241235099512,0.2617260116977575,0.059441600089847446,0.01110094345480737,0.0010122342282596936,0.0
LSTM_smile,residual[clean],0.0015014557862745865,0.001131439203621744,0.9997455707396159,0.45978096257248874,0.03563961145243088,0.018286654232476055,0.0077267907405774066,0.0
Linear,direct[clean],0.0018550224735625802,0.0015829256651021222,0.999611634797286,0.548916827052811,0.10236485123482576,0.016803650273854328,0.01089190213934942,0.0
Linear,residual[clean],0.0018550224735625963,0.001582925665102133,0.999611634797286,0.5489168270528134,0.10236485123482533,0.016803650273853377,0.010891902139349931,0.0
Linear,residual[circular_IV],0.002053803560448662,0.001763339204125973,0.9995239421132992,0.6219011278266463,0.11158932350030834,0.023037942903919556,0.009719563347523389,0.0
SVR_RBF,direct[circular_IV],0.002068310703154954,0.001744212079576989,0.9995171930442893,0.637607738095577,0.15700018388047687,0.010147433939564215,0.007207533181671998,0.0
RandomForest,direct[clean],0.002990624509217396,0.0018567134022492951,0.99899059433926,0.7438093833417215,0.043717783571100094,0.04066840953570927,0.010792286682853479,0.0
BS_ATMvol,baseline,0.003297539905423051,0.0025211883986515603,0.9987727809749257,0.8668410366002963,0.12591258647286163,0.018104380731420993,0.02551134749345016,0.0
GradBoost,direct[clean],0.005186488904933384,0.002299005569907312,0.9969640901872016,1.2453180135231432,0.02696742294425944,0.030190010173625426,0.009085737991222628,0.022727272727272728
MLP,direct[clean],0.005573589849472052,0.0048344714134491195,0.9964939995076376,1.7389756307519884,0.450212439597288,0.07163280843996955,0.014997839424751325,0.11363636363636363
MLP,residual[clean],0.0057900197067300195,0.004629539600497092,0.9962164276474562,1.748318347199976,0.40507462653720683,0.08770436944673528,0.014211771144390383,0.1590909090909091
GRU_smile,residual[clean],0.006298835507201557,0.0051316833768880925,0.9955222226673863,1.889526746394163,0.15530734778784072,0.022864921643471085,0.037514106585848986,0.13636363636363635
SVR_RBF,direct[clean],0.006328966151945954,0.0035596431777585895,0.9954792810758638,1.9108286592145836,0.18129760921879443,0.022967369011836252,0.009302126070481037,0.13636363636363635
RandomForest,direct[circular_IV],0.0074435254939890375,0.006006444763974339,0.9937468431859116,2.020014453705843,0.27199005355177497,0.05686936289941502,0.052150614529169886,0.022727272727272728
MLP,direct[circular_IV],0.007555041923023188,0.0062735300741555595,0.9935580742215574,2.394697857752595,0.8718591945304281,0.0974710707683597,0.016710563827305246,0.045454545454545456
GradBoost,direct[circular_IV],0.008625309756261069,0.007198826876575217,0.991603634010768,2.467029688920293,0.5505552190764823,0.0997165237087547,0.036517749688823535,0.0
MLP,residual[circular_IV],0.01034561200773304,0.008361171842232146,0.9879203504871719,3.107860844613721,0.5715111912919681,0.22010897204973834,0.02679423390627338,0.022727272727272728
Linear,direct[circular_IV],0.022790878783629297,0.01740010991623437,0.9413775314784573,6.574168496500321,1.0,0.38343482932192186,0.061925805256351385,0.022727272727272728
