scenario,expiry,tenor,moneyness_basis_points,strike,a,b,sigma,eta,rho,price
low_volatility,1,2,-100,0.0153151205244,0.1,0.3,0.005,0.0075,-0.7,0.0187967277052
low_volatility,1,2,0,0.0253151205244,0.1,0.3,0.005,0.0075,-0.7,0.00276520675597
low_volatility,1,2,100,0.0353151205244,0.1,0.3,0.005,0.0075,-0.7,7.67648133797e-06
low_volatility,1,5,-100,0.0153151205244,0.1,0.3,0.005,0.0075,-0.7,0.0452709334105
low_volatility,1,5,0,0.0253151205244,0.1,0.3,0.005,0.0075,-0.7,0.00521664331538
low_volatility,1,5,100,0.0353151205244,0.1,0.3,0.005,0.0075,-0.7,1.0089954617e-06
low_volatility,1,10,-100,0.0153151205244,0.1,0.3,0.005,0.0075,-0.7,0.0852209350588
low_volatility,1,10,0,0.0253151205244,0.1,0.3,0.005,0.0075,-0.7,0.00767649049945
low_volatility,1,10,100,0.0353151205244,0.1,0.3,0.005,0.0075,-0.7,2.23065703184e-08
low_volatility,2,2,-100,0.0153151205244,0.1,0.3,0.005,0.0075,-0.7,0.0183819146634
low_volatility,2,2,0,0.0253151205244,0.1,0.3,0.005,0.0075,-0.7,0.00348543867904
low_volatility,2,2,100,0.0353151205244,0.1,0.3,0.005,0.0075,-0.7,5.93786428231e-05
low_volatility,2,5,-100,0.0153151205244,0.1,0.3,0.005,0.0075,-0.7,0.0441750263088
low_volatility,2,5,0,0.0253151205244,0.1,0.3,0.005,0.0075,-0.7,0.00676461423705
low_volatility,2,5,100,0.0353151205244,0.1,0.3,0.005,0.0075,-0.7,2.611497998e-05
low_volatility,2,10,-100,0.0153151205244,0.1,0.3,0.005,0.0075,-0.7,0.0831199737985
low_volatility,2,10,0,0.0253151205244,0.1,0.3,0.005,0.0075,-0.7,0.0101502339342
low_volatility,2,10,100,0.0353151205244,0.1,0.3,0.005,0.0075,-0.7,4.17522568879e-06
low_volatility,5,2,-100,0.0153151205244,0.1,0.3,0.005,0.0075,-0.7,0.0172494136643
low_volatility,5,2,0,0.0253151205244,0.1,0.3,0.005,0.0075,-0.7,0.00430075201294
low_volatility,5,2,100,0.0353151205244,0.1,0.3,0.005,0.0075,-0.7,0.000265552773934
low_volatility,5,5,-100,0.0153151205244,0.1,0.3,0.005,0.0075,-0.7,0.0412230728897
low_volatility,5,5,0,0.0253151205244,0.1,0.3,0.005,0.0075,-0.7,0.0087999876241
low_volatility,5,5,100,0.0353151205244,0.1,0.3,0.005,0.0075,-0.7,0.000275544781319
low_volatility,5,10,-100,0.0153151205244,0.1,0.3,0.005,0.0075,-0.7,0.0772301675105
low_volatility,5,10,0,0.0253151205244,0.1,0.3,0.005,0.0075,-0.7,0.0135128988118
low_volatility,5,10,100,0.0353151205244,0.1,0.3,0.005,0.0075,-0.7,0.000142863864314
base,1,2,-100,0.0153151205244,0.1,0.3,0.01,0.015,-0.7,0.0193557071851
base,1,2,0,0.0253151205244,0.1,0.3,0.01,0.015,-0.7,0.00553008102705
base,1,2,100,0.0353151205244,0.1,0.3,0.01,0.015,-0.7,0.000593530061744
base,1,5,-100,0.0153151205244,0.1,0.3,0.01,0.015,-0.7,0.0456787373234
base,1,5,0,0.0253151205244,0.1,0.3,0.01,0.015,-0.7,0.0104318379097
base,1,5,100,0.0353151205244,0.1,0.3,0.01,0.015,-0.7,0.000436594712797
