time_steps,paths,seed,deterministic,price,standard_error,difference_from_deterministic,paired_bias_vs_finest,paired_bias_standard_error
12,20000,7,0.0135277380664,0.0134748976438,9.65969789833e-05,-5.28404225647e-05,-1.44400239143e-08,1.21465824404e-07
24,20000,7,0.0135277380664,0.0134749256643,9.65986081329e-05,-5.28124020226e-05,1.35805183097e-08,6.06454253088e-08
48,20000,7,0.0135277380664,0.0134749133321,9.65983782319e-05,-5.28247343015e-05,1.24823936714e-09,3.04222219988e-08
96,20000,7,0.0135277380664,0.0134748857391,9.65984922535e-05,-5.28523272375e-05,-2.63446966277e-08,1.51386489018e-08
192,20000,7,0.0135277380664,0.0134749105215,9.65987982972e-05,-5.28275448686e-05,-1.5623278172e-09,6.62503613959e-09
384,20000,7,0.0135277380664,0.0134749120838,9.65988905521e-05,-5.28259825408e-05,0,0
12,20000,42,0.0135277380664,0.0133366100035,9.5341153261e-05,-0.000191128062896,1.15356131844e-08,1.20483945186e-07
24,20000,42,0.0135277380664,0.0133366663634,9.53432501478e-05,-0.000191071702955,6.78955543617e-08,5.92365905005e-08
48,20000,42,0.0135277380664,0.0133366548699,9.53428894779e-05,-0.000191083196486,5.64020229186e-08,3.03207062436e-08
96,20000,42,0.0135277380664,0.0133366156358,9.53425430585e-05,-0.000191122430509,1.71680002724e-08,1.43790951617e-08
192,20000,42,0.0135277380664,0.0133365995204,9.53423908065e-05,-0.00019113854597,1.05253906369e-09,6.41677272957e-09
384,20000,42,0.0135277380664,0.0133365984678,9.53423472958e-05,-0.000191139598509,0,0
