paths,seed,basis,price,standard_error
2000,7,Linear,0.0137399187835,0.000359433191382
2000,7,Quadratic,0.0137417848308,0.000359481718519
2000,42,Linear,0.0142354927171,0.000364168906414
2000,42,Quadratic,0.0141569456813,0.000362368689572
5000,7,Linear,0.0134686841148,0.000225053324843
5000,7,Quadratic,0.0134797126568,0.000224885487802
5000,42,Linear,0.0138523915354,0.000228292502208
5000,42,Quadratic,0.0138814855874,0.00022812959531
10000,7,Linear,0.0136631980075,0.000159460865441
10000,7,Quadratic,0.0136746167974,0.000159343248515
10000,42,Linear,0.013830013522,0.000159821868784
10000,42,Quadratic,0.0138465454953,0.000158953757467
