training_paths,valuation_paths,training_seed,valuation_seed,basis,training_price,valuation_price,standard_error,optimism,non_exercise_probability,exercise_probability_1y,exercise_probability_2y,exercise_probability_3y
2000,10000,7,1007,Linear,0.0137399187835,0.0138828960721,0.000160476773957,-0.000142977288608,0.4254,0.2011,0.1804,0.1931
2000,10000,7,1007,Quadratic,0.0137417848308,0.0138982643544,0.000160403532776,-0.000156479523581,0.4264,0.2022,0.1772,0.1942
2000,10000,42,1042,Linear,0.0142354927171,0.0137643603366,0.000159425262808,0.000471132380566,0.4222,0.1928,0.2012,0.1838
2000,10000,42,1042,Quadratic,0.0141569456813,0.0137780236816,0.000159387602092,0.000378921999686,0.4276,0.1952,0.1914,0.1858
5000,10000,7,1007,Linear,0.0134686841148,0.0138718102625,0.000160445252444,-0.000403126147699,0.4251,0.1992,0.1841,0.1916
5000,10000,7,1007,Quadratic,0.0134797126568,0.013883907878,0.000160413601565,-0.000404195221138,0.4274,0.1991,0.1806,0.1929
5000,10000,42,1042,Linear,0.0138523915354,0.0137720950143,0.00015957204231,8.02965211808e-05,0.4272,0.1923,0.1909,0.1896
5000,10000,42,1042,Quadratic,0.0138814855874,0.0137971135,0.000159431794608,8.43720874546e-05,0.4292,0.1954,0.1851,0.1903
10000,10000,7,1007,Linear,0.0136631980075,0.0138477242113,0.000160631389033,-0.000184526203746,0.4268,0.1931,0.1891,0.191
10000,10000,7,1007,Quadratic,0.0136746167974,0.0138871785748,0.000160623867408,-0.000212561777394,0.4284,0.1949,0.1846,0.1921
10000,10000,42,1042,Linear,0.013830013522,0.0137789553413,0.000159368934775,5.10581807103e-05,0.4277,0.1975,0.1844,0.1904
10000,10000,42,1042,Quadratic,0.0138465454953,0.0137960888358,0.000158767689105,5.04566595603e-05,0.4276,0.2045,0.1785,0.1894
